media,category,color,font,fontsize,fontcolor,edgewidth,edgecolor,nodeweight
OM Glascow Coma Scale,Level4,black,2,5,black,3,black,1
OM HCT,Level4,black,2,5,black,3,black,2
OM Hemostatic agents,Level4,black,2,5,black,3,black,7
OM Hemostatic efficacy,Level4,black,2,5,black,3,black,3
OM in vivo thrombin generation ,Level4,black,2,5,black,3,black,1
OM Inflammation markers,Level4,black,2,5,black,3,black,1
OM INR,Level4,black,2,5,black,3,black,14
OM Intracerebral hemorrhage,Level4,black,2,5,black,3,black,2
OM Lenght of hospital stay,Level4,black,2,5,black,3,black,1
OM LOS Hospital,Level4,black,2,5,black,3,black,6
OM LOS ICU,Level4,black,2,5,black,3,black,8
OM LOS PICU,Level4,black,2,5,black,3,black,1
OM Lung injury,Level4,black,2,5,black,3,black,1
OM Major bleeding,Level4,black,2,5,black,3,black,2
OM Mortality,Level4,black,2,5,black,3,black,9
OM Mortality ,Level4,black,2,5,black,3,black,1
OM mRS score,Level4,black,2,5,black,3,black,1
OM National Institute of Health Stroke Scale,Level4,black,2,5,black,3,black,1
OM Need for massive transfusion,Level4,black,2,5,black,3,black,2
OM Other ,Level4,black,2,5,black,3,black,1
OM Plasma,Level4,black,2,5,black,3,black,14
OM Plasma thromboplastin time (PTT),Level4,black,2,5,black,3,black,1
OM plasma to crystalloid ratio,Level4,black,2,5,black,3,black,1
OM Platelets,Level4,black,2,5,black,3,black,13
OM Protein C and S,Level4,black,2,5,black,3,black,2
OM Prothrombin,Level4,black,2,5,black,3,black,1
OM Protocol adherence,Level4,black,2,5,black,3,black,1
OM PT,Level4,black,2,5,black,3,black,6
OM PTT,Level4,black,2,5,black,3,black,3
OM Pulmonary oedema,Level4,black,2,5,black,3,black,1
OM Quality of life,Level4,black,2,5,black,3,black,1
OM RBC,Level4,black,2,5,black,3,black,16
OM renal failure,Level4,black,2,5,black,3,black,1
OM Reoperation,Level4,black,2,5,black,3,black,4
OM Reptilase time,Level4,black,2,5,black,3,black,1
OM Reversal of coagulopathy,Level4,black,2,5,black,3,black,1
OM safety,Level4,black,2,5,black,3,black,1
OM Survival ,Level4,black,2,5,black,3,black,1
OM Thrombin generation,Level4,black,2,5,black,3,black,1
OM Time from intervention to chest closure,Level4,black,2,5,black,3,black,1
OM Time to intervention,Level4,black,2,5,black,3,black,1
OM Time to RBCtransfusion,Level4,black,2,5,black,3,black,1
OM Time to transfuion,Level4,black,2,5,black,3,black,1
OM traceability ,Level4,black,2,5,black,3,black,1
OM Transfusion reaction,Level4,black,2,5,black,3,black,6
OM Urgent surgery,Level4,black,2,5,black,3,black,1
OM Viscoelastic tests,Level4,black,2,5,black,3,black,4
OM Whole Blood,Level4,black,2,5,black,3,black,2
