media,category,color
Stensballe et al (2018)7,,lightgray
Stensballe et al (2018)8,,lightgray
Tamura et al (2020)1,,lightgray
Tamura et al (2020)2,,lightgray
Tamura et al (2020)3,,lightgray
Tamura et al (2020)4,,lightgray
Tollofsrud (2003)1,,lightgray
Tollofsrud (2003)2,,lightgray
Tollofsrud (2003)3,,lightgray
Tollofsrud (2003)4,,lightgray
Tollofsrud (2003)5,,lightgray
Yiu (2006)1,,lightgray
Yiu (2006)2,,lightgray
Yiu (2006)3,,lightgray
Yiu (2006)4,,lightgray
Zhang et al (20219)1,,lightgray
Zhang et al (20219)2,,lightgray
Zhang et al (20219)3,,lightgray
Zhang et al (20219)4,,lightgray
