media,category,color,font,fontsize,fontcolor,edgewidth,edgecolor,nodeweight,medialabel
Economic impact (OM),Level4,cornflowerblue,1,2,black,0.1,cornflowerblue,1,Economic impact 
Electrolytes (OM),Level4,azure4,1,2,black,0.1,azure4,1,Electrolytes 
Endothelial markers (OM),Level4,azure4,1,2,black,0.1,azure4,1,Endothelial markers 
Extended Glasgow Outcome Scale (OM),Level4,azure4,1,2,black,0.1,azure4,1,Extended Glasgow Outcome Scale 
Feasibility (OM),Level4,azure4,1,2,black,0.2,azure4,2,Feasibility 
FFP (OM),Level4,azure4,1,2,black,0.1,azure4,1,FFP 
Fibrin monomer (OM),Level4,azure4,1,2,black,0.1,azure4,1,Fibrin monomer 
Fibrinogen (OM),Level4,brown2,1,2,black,1.1,brown2,11,Fibrinogen 
Fluids (OM),Level4,azure4,1,2,black,0.5,azure4,5,Fluids 
General (OM),Level4,azure4,1,2,black,0.1,azure4,1,General 
Glascow Coma Scale (OM),Level4,azure4,1,2,black,0.1,azure4,1,Glascow Coma Scale 
HCT (OM),Level4,azure4,1,2,black,0.2,azure4,2,HCT 
Hemostatic agents (OM),Level4,cornflowerblue,1,2,black,0.7,cornflowerblue,7,Hemostatic agents 
Hemostatic efficacy (OM),Level4,azure4,1,2,black,0.3,azure4,3,Hemostatic efficacy 
in vivo thrombin generation (OM),Level4,brown2,1,2,black,0.1,brown2,1,in vivo thrombin generation 
Inflammation markers (OM),Level4,azure4,1,2,black,0.1,azure4,1,Inflammation markers 
INR (OM),Level4,brown2,1,2,black,1.4,brown2,14,INR 
Intracerebral hemorrhage (OM),Level4,azure4,1,2,black,0.2,azure4,2,Intracerebral hemorrhage 
Lenght of hospital stay (OM),Level4,cornflowerblue,1,2,black,0.1,cornflowerblue,1,Lenght of hospital stay 
LOS Hospital (OM),Level4,cornflowerblue,1,2,black,0.6,cornflowerblue,6,LOS Hospital 
LOS ICU (OM),Level4,cornflowerblue,1,2,black,0.8,cornflowerblue,8,LOS ICU 
LOS PICU (OM),Level4,cornflowerblue,1,2,black,0.1,cornflowerblue,1,LOS PICU 
Lung injury (OM),Level4,azure4,1,2,black,0.1,azure4,1,Lung injury 
Major bleeding (OM),Level4,azure4,1,2,black,0.2,azure4,2,Major bleeding 
Mortality (OM),Level4,azure4,1,2,black,0.9,azure4,9,Mortality 
mRS score (OM),Level4,azure4,1,2,black,0.1,azure4,1,mRS score 
National Institute of Health Stroke Scale (OM),Level4,azure4,1,2,black,0.1,azure4,1,National Institute of Health Stroke Scale 
Need for massive transfusion (OM),Level4,azure4,1,2,black,0.2,azure4,2,Need for massive transfusion 
Other (OM),Level4,azure4,1,2,black,0.1,azure4,1,Other 
Plasma (OM),Level4,cornflowerblue,1,2,black,1.4,cornflowerblue,14,Plasma 
Plasma thromboplastin time (PTT) (OM),Level4,azure4,1,2,black,0.1,azure4,1,Plasma thromboplastin time 
plasma to crystalloid ratio (OM),Level4,azure4,1,2,black,0.1,azure4,1,plasma to crystalloid ratio 
Platelets (OM),Level4,cornflowerblue,1,2,black,1.3,cornflowerblue,13,Platelets 
Protein C and S (OM),Level4,brown2,1,2,black,0.2,azure4,2,Protein C and S 
Prothrombin (OM),Level4,azure4,1,2,black,0.1,azure4,1,Prothrombin 
Protocol adherence (OM),Level4,azure4,1,2,black,0.1,azure4,1,Protocol adherence 
PT (OM),Level4,brown2,1,2,black,0.6,azure4,6,PT 
PTT (OM),Level4,brown2,1,2,black,0.3,azure4,3,PTT 
Pulmonary oedema (OM),Level4,azure4,1,2,black,0.1,azure4,1,Pulmonary oedema 
Quality of life (OM),Level4,azure4,1,2,black,0.1,azure4,1,Quality of life 
RBC (OM),Level4,cornflowerblue,1,2,black,1.6,cornflowerblue,16,RBC 
renal failure (OM),Level4,coral4,1,2,black,0.1,coral4,1,renal failure 
Reoperation (OM),Level4,coral4,1,2,black,0.4,coral4,4,Reoperation 
Reptilase time (OM),Level4,azure4,1,2,black,0.1,azure4,1,Reptilase time 
Reversal of coagulopathy (OM),Level4,azure4,1,2,black,0.1,azure4,1,Reversal of coagulopathy 
safety (OM),Level4,azure4,1,2,black,0.1,azure4,1,safety 
Survival (OM),Level4,azure4,1,2,black,0.1,azure4,1,Survival 
Thrombin generation (OM),Level4,azure4,1,2,black,0.1,azure4,1,Thrombin generation 
Time from intervention to chest closure (OM),Level4,azure4,1,2,black,0.1,azure4,1,Time from intervention to chest closure 
Time to intervention (OM),Level4,azure4,1,2,black,0.1,azure4,1,Time to intervention 
Time to RBCtransfusion (OM),Level4,azure4,1,2,black,0.1,azure4,1,Time to RBCtransfusion 
Time to transfuion (OM),Level4,azure4,1,2,black,0.1,azure4,1,Time to transfuion 
Traceability (OM),Level4,azure4,1,2,black,0.1,azure4,1,Traceability 
Transfusion reaction (OM),Level4,coral4,1,2,black,0.6,coral4,6,Transfusion reaction 
Urgent surgery (OM),Level4,cornflowerblue,1,2,black,0.1,cornflowerblue,1,Urgent surgery 
Viscoelastic tests (OM),Level4,brown2,1,2,black,0.4,brown2,4,Viscoelastic tests 
Whole Blood (OM),Level4,cornflowerblue,1,2,black,0.2,cornflowerblue,2,Whole Blood 
