from,to,fromCount,edgewidth
MC Measures of coagulation,OM Protein C and S,1,1
MC Measures of coagulation,OM Prothrombin,1,1
MC Other (D32),OM Protocol adherence,1,1
MC Measures of coagulation,OM PT,1,1
MC Measures of coagulation,OM PTT,1,1
MC Adverse events (D38),OM Pulmonary oedema,1,1
MC Life impact (D30),OM Quality of life,1,1
MC Blood usage,OM RBC,1,1
MC Adverse events (D38),OM renal failure,1,1
MC Adverse events (D38),OM Reoperation,1,1
MC Otherlaboratory measurements (D24),OM Reptilase time,1,1
MC Measures of coagulation,OM Reversal of coagulopathy,1,1
MC Adverse events (D38),OM safety,1,1
MC Mortality,OM Survival ,1,1
MC Measures of coagulation,OM Thrombin generation,1,1
MC Otherlaboratory measurements (D24),OM Thromboelastography ,1,1
MC Organ specific treatment effect (D32),OM Time from intervention to chest closure,1,1
MC Feasibility,OM Time to intervention,1,1
MC Feasibility,OM Time to RBCtransfusion,1,1
MC Feasibility,OM Time to transfuion,1,1
MC Feasibility,OM traceability ,1,1
MC Adverse events (D38),OM Transfusion reaction,1,1
MC Adverse events (D36),OM Urgent surgery,1,1
MC Measures of coagulation,OM Viscoelastic tests,1,1
MC Blood usage,OM Whole Blood,1,1
